	name	Longitude	Latitude	address1	city	zip_code	state	display_address	price	rating	review_count
671	Fu Hing Restaurant	-74.10673	40.67709	874 Broadway	Bayonne	07002	NJ	['874 Broadway', 'Bayonne, NJ 07002']	$	3.5	23
672	China Royal	-73.99939	40.62489	1377 65th St	Brooklyn	11219	NY	['1377 65th St', 'Brooklyn, NY 11219']	$	4.0	17
673	Friendly Restaurant	-73.9424634196434	40.7559963313064	1205 40th Ave	Long Island City	11101	NY	['1205 40th Ave', 'Long Island City, NY 11101']	$	3.5	60
674	Sushumai Asian Fusion	-73.9872866123915	40.7211610690848	112 Stanton St	New York	10002	NY	['112 Stanton St', 'New York, NY 10002']	$$	4.5	173
675	New Dragon Restaurant	-73.97533	40.69643	47 N Oxford St	Brooklyn	11205	NY	['47 N Oxford St', 'Brooklyn, NY 11205']		2.5	3
676	Gem Bistro	-74.144834	40.748554	10 Schuyler Ave	Kearny	07032	NJ	['10 Schuyler Ave', 'Kearny, NJ 07032']	$$	4.5	24
677	Green Tea Chinese	-74.07695	40.6441	54 Richmond Terrace	Staten Island	10301	NY	['54 Richmond Terrace', 'Staten Island, NY 10301']		4.0	1
678	Hortus NYC	-73.98652	40.74545	271 5th Ave	New York	10016	NY	['271 5th Ave', 'New York, NY 10016']		4.5	156
679	New Aroma Chinese Restaurant	-73.9557037353516	40.8132171630859	465 W 125th St	New York	10027	NY	['465 W 125th St', 'New York, NY 10027']	$	3.5	29
680	New King's Wok Kitchen	-73.89681	40.91044	6669 Broadway	Bronx	10471	NY	['6669 Broadway', 'Bronx, NY 10471']	$	4.0	19
681	Szechuan Gourmet 98	-73.9706060932133	40.7959450101726	2596 Broadway	New York	10025	NY	['2596 Broadway', 'New York, NY 10025']	$$	3.5	19
682	New 888 Kitchen	-73.9043	40.72064	6092 Flushing Ave	Maspeth	11378	NY	['6092 Flushing Ave', 'Maspeth, NY 11378']	$	2.5	15
683	Happy Garden	-73.92717	40.83655	1150 Ogden Ave	Bronx	10452	NY	['1150 Ogden Ave', 'Bronx, NY 10452']		4.5	2
684	Panda Delight	-73.989601	40.687602	121 Smith St	Brooklyn	11201	NY	['121 Smith St', 'Brooklyn, NY 11201']	$$	2.5	29
